id_situation,id_dpt,id_region,,,,,,,,,67
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,79
,,,,,,,,,,,79
,,,,,,,,,,,79
,,,,,,,,,,,79
,,,,,,,,,,,79
,,,,,,,,,,,79
,,,,,,,,,,,79
,,,,,,,,,,,79
,,,,,,,,,,,86
,,,,,,,,,,,86
,,,,,,,,,,,86
,,,,,,,,,,,86
,,,,,,,,,,,86
,,,,,,,,,,,86
,,,,,,,,,,,86
,,,,,,,,,,,86
,,,,,,,,,,,86
,,,,,,,,,,,86
,,,,,,,,,,,86
,,,,,,,,,,,86
,,,,,,,,,,,5
,,,,,,,,,,,5
,,,,,,,,,,,5
,,,,,,,,,,,5
,,,,,,,,,,,5
,,,,,,,,,,,5
,,,,,,,,,,,5
,,,,,,,,,,,5
,,,,,,,,,,,5
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
,,,,,,,,,,,6
